SL.NO,COUNTRY,TOTAL CASES,NEW CASES,TOTAL DEATHS,NEW DEATHS,TOTAL RECOVERED,NEW RECOVERED,ACTIVE CASES,CRITICAL CASES,CASES/MILLION,DEATHS/MILLION,TOTAL TESTS,TESTS/MILLION,POPULATION,CONTINENT
1,USA,"32,789,653",0,"585,880 ",0,"25,339,874",0,"6,863,899","9,944","98,592","1,762","438,591,428","1,318,756","332,579,690 ",North America,105681,0,0
2,India,"16,960,172","+8,403","192,311 ",+1,"14,085,110","+7,029","2,682,751","8,944","12,193",138,"277,918,810","199,796","1,391,012,516 ",Asia,"827,2335",6,0
3,Brazil,"14,308,215",0,"389,609 ",0,"12,766,772",0,"1,151,834","8,318","66,928","1,822","43,538,104","203,652","213,786,534 ",South America,155495,0,0
4,France,"5,473,579",0,"102,713 ",0,"4,321,374",0,"1,049,492","5,958","83,705","1,571","74,165,951","1,134,192","65,391,007 ",Europe,126371,0,0
5,Russia,"4,753,789",0,"107,900 ",0,"4,380,468",0,"265,421","2,300","32,563",739,"127,500,000","873,375","145,985,396 ",Europe,"311,3531",0,0
6,Turkey,"4,591,416",0,"38,011 ",0,"4,022,408",0,"530,997","3,511","53,969",447,"45,623,978","536,279","85,075,142 ",Asia,"192,2382",0,0
7,UK,"4,403,170",0,"127,417 ",0,"4,189,154",0,"86,599",243,"64,586","1,869","148,737,754","2,181,679","68,175,812 ",Europe,155350,0,0
8,Italy,"3,949,517",0,"119,021 ",0,"3,369,048",0,"461,448","2,894","65,401","1,971","56,886,535","941,995","60,389,418 ",Europe,155071,0,0
9,Spain,"3,468,617",0,"77,591 ",0,"3,163,849",0,"227,177","2,297","74,164","1,659","44,374,223","948,785","46,769,519 ",Europe,136031,0,0
10,Germany,"3,286,187",0,"82,194 ",0,"2,893,900","+11,600","310,093","5,049","39,120",978,"54,061,332","643,573","84,001,806 ",Europe,"261,0222",0,0
11,Argentina,"2,845,872",0,"61,474 ",0,"2,496,277",0,"288,121","4,858","62,502","1,350","10,689,927","234,777","45,532,343 ",South America,167414,0,0
12,Colombia,"2,757,274",0,"70,886 ",0,"2,573,657",0,"112,731","5,645","53,724","1,381","14,317,363","278,967","51,322,788 ",South America,197244,0,0
13,Poland,"2,751,632",0,"65,222 ",0,"2,422,659",0,"263,751","3,195","72,770","1,725","13,901,801","367,647","37,812,856 ",Europe,145803,0,0
14,Iran,"2,377,039",0,"69,120 ",0,"1,863,405",0,"444,514","5,156","28,010",814,"15,078,540","177,678","84,864,249 ",Asia,"361,2286",0,0
15,Mexico,"2,326,738","+3,308","214,853 ",+349,"1,848,177","+3,169","263,708","4,798","17,894","1,652","6,531,935","50,233","130,031,556 ",North America,5660520,25,3
16,Ukraine,"2,025,271","+7,930","42,323 ",+231,"1,572,528","+6,574","410,420",177,"46,537",973,"9,214,479","211,732","43,519,479 ",Europe,"211,0285",182,5
17,Peru,"1,754,150",0,"59,440 ",0,"1,679,099",0,"15,611","2,646","52,608","1,783","10,798,298","323,846","33,343,939 ",South America,195613,0,0
18,Indonesia,"1,636,792",0,"44,500 ",0,"1,492,322",0,"99,970",0,"5,933",161,"14,242,895","51,629","275,869,680 ",Asia,"1696,19919",0,0
19,Czechia,"1,618,076",0,"28,946 ",+9,"1,524,100",+40,"65,030",765,"150,868","2,699","16,937,639","1,579,246","10,725,145 ",Europe,73711,0,0.8
20,South Africa,"1,574,370",0,"54,125 ",0,"1,500,360",0,"19,885",546,"26,277",903,"10,508,510","175,391","59,914,768 ",Africa,"381,1076",0,0
21,Netherlands,"1,453,124",0,"17,038 ",0,"1,211,609",0,"224,477",827,"84,653",993,"11,781,337","686,330","17,165,714 ",Europe,"121,0071",0,0
22,Canada,"1,172,004",0,"23,927 ",0,"1,061,706",0,"86,371","1,312","30,833",629,"30,705,297","807,806","38,010,747 ",North America,"321,5891",0,0
23,Chile,"1,162,811",0,"25,742 ",0,"1,092,934",0,"44,135","3,374","60,408","1,337","12,709,327","660,245","19,249,397 ",South America,177482,0,0
24,Romania,"1,044,722",0,"27,267  ",0,"968,746",0,"48,709","1,377","54,603","1,425","8,093,181","422,996","19,133,008 ",Europe,187022,0,0
25,Iraq,"1,025,288",0,"15,217 ",0,"897,966",0,"112,105",509,"25,037",372,"9,076,934","221,652","40,951,234 ",Asia,"402,6915",0,0
26,Philippines,"989,380",0,"16,674 ",0,"883,221",0,"89,485",750,"8,932",151,"11,460,993","103,473","110,762,901 ",Asia,"1126,64310",0,0
27,Belgium,"972,041","+3,934","23,990 ",+36,"825,136","+6,270","122,915",901,"83,576","2,063","12,253,776","1,053,578","11,630,625 ",Europe,124851,338,3
28,Sweden,"938,343",0,"13,923 ",0,"766,040","+6,370","158,380",403,"92,444","1,372","8,151,774","803,097","10,150,424 ",Europe,117291,0,0
29,Israel,"837,974",0,"6,350 ",0,"829,811",0,"1,813",152,"91,108",690,"14,049,710","1,527,543","9,197,590 ",Asia,"111,4481",0,0
